customer_id,review_id,product_id,product_title,product_category,rating,review_headline,review_body,review_date
26631939,R1C4QH63NFL5NJ,B01FWRXN0Y,Levi's Boys' 514 Straight Fit Jeans,Apparel,5,Five Stars,Excellent for my 6 feet skinny 15 years old boy.,22-04-2014
29355866,R1ZECD2AA8QFF6,B01DXHX81O,Jockey Women's Underwear Supersoft Brief - 3 Pack,Apparel,5,Five Stars,Great fit!,09-08-2015
19787539,R3NU4WUR5ZNV1V,B01B3Q4Q0O,Bali Passion For Comfort Minimizer Underwire Bra,Apparel,5,Five Stars,cup size is just right.  Seems to be a little tight around.  Might just be because it is new.,06-09-2013
44196725,R32EPCJ3XF8LGE,B01ADDSL9U,Lilyette Women's Enchantment Three-Section Unlined Minimizer Underwire Bra,Apparel,5,Five Stars,Perfect...,17-11-2014
42025740,R1P11MVDZ65LMH,B019MDXIXG,Warner's Women's No Wedgies No Worries Modern Brief Panty,Apparel,5,Five Stars,Great fit.,14-02-2014
27097189,R1OJA3DJL0VDDK,B019438FEG,Columbia Women's Benton Springs Full-Zip Fleece Jacket,Apparel,5,Five Stars,I have this Columbia in 5 colors and wear them all the time,20-10-2014
38675394,R1SOGXVSM19FHD,B014WCV7JY,Jerzees Men's Super Sweats Crew Neck Sweatshirt,Apparel,5,Five Stars,Love this sweat shirt,07-02-2015
22116819,R3R04PVN99PTJX,B014MSSP66,SEOBEAN Mens Low Rise Sexy Sport Swimwear Trunk Boxer Brief Bikini Swimsuit,Apparel,5,Five Stars,"Thank you very much, it's very beautiful",22-08-2014
26631939,R1C4QH63NFL5NJ,B01FWRXN0Y,Levi's Boys' 514 Straight Fit Jeans,Apparel,5,Five Stars,Excellent for my 6 feet skinny 15 years old boy.,22-04-2014
29355866,R1ZECD2AA8QFF6,B01DXHX81O,Jockey Women's Underwear Supersoft Brief - 3 Pack,Apparel,5,Five Stars,Great fit!,09-08-2015
