customer_id,review_id,product_id,product_title,product_category,rating,review_headline,review_body,review_date
1797882,R3I2DHQBR577SS,B001ANOOOE,"The Naked Bee Vitmin C Moisturizing Sunscreen SPF 30, 5.5 oz (163 ml.)",Beauty,5,Five Stars,"Love this, excellent sun block!!",31-08-2015
18381298,R1QNE9NQFJC2Y4,B0016J22EQ,"Alba Botanica Sunless Tanning Lotion, 4 Ounce",Beauty,5,Thank you Alba Bontanica!,The great thing about this cream is that it doesn't smell weird like all those chemical laden ones.  I get a nice healthy un-fake looking tan that isn't orange and it makes my skin soft too.,31-08-2015
19242472,R3LIDG2Q4LJBAO,B00HU6UQAG,"Elysee Infusion Skin Therapy Elixir, 2oz.",Beauty,5,Five Stars,"Great Product, I'm 65 years old and this is all it claims to be!",31-08-2015
19551372,R3KSZHPAEVPEAL,B002HWS7RM,"Diane D722 Color, Perm And Conditioner Processing Caps - 100-Pack - Clear",Beauty,5,GOOD DEAL!,I use them as shower caps & conditioning caps. I like that they're in bulk. It saves a lot of money.,31-08-2015
14802407,RAI2OIG50KZ43,B00SM99KWU,Biore UV Aqua Rich Watery Essence SPF50+/PA++++ (pack of 2),Beauty,5,this soaks in quick and provides a nice base for makeup,"This is my go-to daily sunblock. It leaves no white cast at all and has a clean, pleasant scent. If you're a makeup wearer, this soaks in quick and provides a nice base for makeup. I've been using this brand for over a year. With daily use, this tube will last you a couple months.",31-08-2015
2909389,R1R30FA4RB5P54,B000NYL1Z6,Murad Clarifying Cleanser,Beauty,4,Four Stars,Good,31-08-2015
19397215,R30IJKCGJBGPJH,B001SYWTFG,CoverGirl Queen Collection Perfect Point Plus Eyeliner Black Onyx 200,Beauty,5,Good buy,"Great eyeliner, does run just a little bit at corners at times, but overall, it does keep on your eyes all day long.",31-08-2015
3195210,R18GLJJPVQ1OVH,B005F2EVMQ,"Bifesta Mandom Eye Makeup Remover, 145ml",Beauty,5,Five Stars,Best makeup remover！,31-08-2015
52216383,R8TVYIJXLYJT0,B00M1SUW7K,"Can You Handlebar All-Natural Secondary Moustache Wax : Extra Strength, Firm Hold",Beauty,5,Tame the wild mustache,"This is a great product. I'm on my latest stab at a major beard, and I always seem to start growing them during the hottest months. My mustache is going through a particularly awkward phase of growth, and this wax really helps keep it in place, out of the way. I look neater and I can actually eat and drink again without collecting a big mess. If you're going to get this, do yourself a favor and get a good mustache comb.",31-08-2015
10278216,R1CJGF6M3PVHEZ,B001KYQA1S,"Maybelline Great Lash Washable Mascara, Clear [110], 1 ea",Beauty,1,but it's like having nothing on them at all,"I thought it would darken the lashes even though it's clear, but it's like having nothing on them at all. Sadly I threw it away.",31-08-2015
24655453,R2A30ALEGLMCGN,B00SAQ9DZY,"12 New, High Quality, Amber 2 ml (5/8 Dram) Glass Bottles, with Orifice Reducer and Black Cap.",Beauty,4,Good Product,"These are great for small mixtures for EO's, especially for traveling.  I only gave this 4 stars because of the orifice reducer.  The hole is so small it is hard to get the oil out.  Just needs to be slightly bigger.",31-08-2015
30788223,R134GP1Y3EQZ1L,B00HFQQ0VU,Waterpik Aquarius Water Flosser,Beauty,5,Optimum Oral Health,Just got this.  Nice size and very compact.  I am looking forward to the gum massaging.  I wore out my last model.,31-08-2015
