customer_id,review_id,product_id,product_title,product_category,rating,review_headline,review_body,review_date
24371595,R27ZP1F1CD0C3Y,B004LLIL5A,Amazon eGift Card - Celebrate,Gift Card,5,Five Stars,Great birthday gift for a young adult.,31-08-2015
42489718,RJ7RSBCHUDNNE,B004LLIKVU,Amazon.com eGift Cards,Gift Card,5,Gift card for the greatest selection of items online,It's an Amazon gift card and with over 982398324908 items I am sure you will find something you love.,31-08-2015
861463,R1HVYBSKLQJI5S,B00IX1I3G6,Amazon.com Gift Card Balance Reload,Gift Card,5,Five Stars,Good,31-08-2015
25283295,R2HAXF0IIYQBIR,B00IX1I3G6,Amazon.com Gift Card Balance Reload,Gift Card,1,One Star,Fair,31-08-2015
397970,RNYLPX611NB7Q,B005ESMGV4,"Amazon.com Gift Cards, Pack of 3 (Various Designs)",Gift Card,5,Five Stars,I can't believe how quickly Amazon can get these into my hands!!  Thank you!,31-08-2015
18513645,R3ALA9XXMBEDZR,B004KNWWU4,Amazon Gift Card - Print - Happy Birthday (Birds),Gift Card,5,Perfect for most every occasion!,Perfect!  Nice & easy plus everyone loves them.  This is one gift you'll never have to return!,31-08-2015
22484620,R3R8PHAVJFTPDF,B004LLIKVU,Amazon.com eGift Cards,Gift Card,5,Five Stars,excelent,31-08-2015
14765851,R18WWEK8OIXE30,BT00CTP2EE,Amazon.com Gift Card in a Greeting Card (Various Designs),Gift Card,5,Five Stars,Great and Safe Gift Giving,31-08-2015
18751931,R1EGUNQON2J277,B004LLIKVU,Amazon.com eGift Cards,Gift Card,1,One Star,What?????????,31-08-2015
15100528,R21Z4M4L98CPU2,B004W8D102,Amazon Gift Card - Print - Amazon Boxes,Gift Card,5,Five Stars,This was just too easy~click & print!,31-08-2015
3559726,R6JH7A117FHFA,B004LLIKVU,Amazon.com eGift Cards,Gift Card,5,Five Stars,Bien,31-08-2015
23413911,R1XZHS8M1GCGI7,B004KNWWU4,Amazon Gift Card - Print - Happy Birthday (Birds),Gift Card,5,Always good,Easy to print from email.  I love the variety of cards available for print on demand.,31-08-2015
2026222,R1DAI0N03SKRJN,B004LLIKVU,Amazon.com eGift Cards,Gift Card,5,Five Stars,Amazing with 10 dollar,31-08-2015
32956435,R2F6SKZOEYQRU3,B004LLIKVU,Amazon.com eGift Cards,Gift Card,5,Five Stars,Remember Matthew 7:21,31-08-2015
20241560,RIBOP6OEAZA47,B00H5BNLUS,Amazon eGift Card - Hoops and Yoyo Thank You Very Much (Animated) [Hallmark],Gift Card,5,Five Stars,good,31-08-2015
10670435,R15H8E7WD6XD29,B004KNWX6C,Amazon Gift Card - Print - Celebrate,Gift Card,5,Five Stars,Awesome way to send a gift card!!,31-08-2015
48872127,RVN4P3RU4F8IE,BT00CTOYC0,Amazon.com $15 Gift Card in a Greeting Card (Amazon Surprise Box Design),Gift Card,5,Quick Solution for Forgotten Occasion,"I love that I have instant, helpful options when I forget a birthday! Thanks for saving the day Amazon!",31-08-2015
460630,RCS8F9JCAAXC7,B004LLIKVU,Amazon.com eGift Cards,Gift Card,4,Four Stars,Good gift. Easy to use. Relatively instant.,31-08-2015
41238378,R6811C4E7UYL2,B00H5BMH44,Amazon eGift Card - Hoops and Yoyo Cake Face (Animated) [Hallmark],Gift Card,5,Satisfied customer,Satisfied as usual<br />Thanks Amazon,31-08-2015
14222739,R196T0NZ73TYIM,B005ESMMKE,"Amazon.com Gift Cards, Pack of 10 (Various Card Designs)",Gift Card,5,Five Stars,nice,31-08-2015
5539254,RDSFSZDZ0P6QH,B00EPLT448,Amazon Gift Card - Print - 16th Birthday (Sweet 16),Gift Card,4,Four Stars,my nice was quite suprised that it was a card and gift card all in one.,31-08-2015
479599,R2KJB0ISRU3K8T,B004LLIKVU,Amazon.com eGift Cards,Gift Card,5,Five Stars,Good!!!,31-08-2015
14103822,RXQVU8WBA6599,B005ESMKMO,"Amazon.com Gift Cards, Pack of 3 (Various Designs)",Gift Card,5,easy to use,is what it is,31-08-2015
25208893,R13UP4ELOFYDB5,B00PG40PAK,Amazon eGift Card - Truth in Gift Cards,Gift Card,5,"Easy, Safe, Reliable, Well Received by Recipients","Normally, I don't like gift cards conceptually but the Amazon GC is an exception! Giving today is not the same as giving yesterday. Now, everyone knows (better than the giver) exactly what they want. The Amazon card gives them the privilege of selection, shopping online for home deliver, and the option to redirect the funds as they see fit! I now give gift cards through Amazon to anyone who shops on Amazon and does not object to this kind of gift.",31-08-2015
28796688,R1CYSR7RQ4PQ2Y,B004LLIKVU,Amazon.com eGift Cards,Gift Card,5,Love this gift,Wow.. Thank you. Love this gift.,31-08-2015
48872127,R24LZLKSCCSYWL,B00G4IWEZG,Amazon Gift Card - Print - Merry Christmas (Pine),Gift Card,5,Five Stars,Amazon saves the day again!,31-08-2015
4143851,R2CVTFQHFVIQW,B004LLIKVU,Amazon.com eGift Cards,Gift Card,5,Space saver,Love it!  It is a space saver for our small kitchen.,31-08-2015
12988791,R5K9BOSGXCBVW,B007V6EVY2,Amazon Gift Card - Print - Happy Birthday (Presents),Gift Card,5,Great and so easy!,It was colorful and just what my birthday person wanted,31-08-2015
41046876,R2L11KICV0FJYO,B00IX1I3G6,Amazon.com Gift Card Balance Reload,Gift Card,5,excellent,Was simple and easy.,31-08-2015
13344917,R1LAKLBYB33YMH,B007V6ETDK,Amazon eGift Card - Happy Birthday (Presents),Gift Card,5,Quick gift,Worked well for a quick delivery birthday present!,31-08-2015
25616226,R1FIU59Z4UXOIT,B004LLIKVU,Amazon.com eGift Cards,Gift Card,2,Two Stars,I wanted the gift car4 for MUSIC not movies.,31-08-2015
5483210,R33Z0BTLKLZHTS,B00A48G0D4,Amazon eGift Card - Happy Birthday (Candles),Gift Card,5,Five Stars,GOOD,31-08-2015
4788872,R3MHW0ENYJ5FKI,B004LLIKVU,Amazon.com eGift Cards,Gift Card,5,Five Stars,Good,31-08-2015
131552,R2HOK11I95LU9L,B00E1QB6ZC,Amazon Gift Card - Print - Wedding (Dress and Tux),Gift Card,4,Four Stars,This is a great way to give a gift card and print it up at home.,31-08-2015
126597,R28MKHFPITXK4D,B004W8D0Y4,Amazon eGift Card - Amazon Boxes,Gift Card,5,Five Stars,i am artist,31-08-2015
13376158,R3KLV1HD0EFCSV,B005Z3D5OU,"Amazon.com Gift Cards, Pack of 3 (Various Designs)",Gift Card,5,Can't Go Wrong Plus Free Next Day Shipping,"Amazon gift cards are nothing new, and they are very handy to give as gifts due to the diverse nature of products Amazon offers – certainly your recipient can find something he / she will like to order.<br /><br />These gift cards, however, are a little more classy than the standard email or printed-off versions at home as it shows you went a little further, the card is in sturdy packaging, and I appreciate the fact Amazon delivers it for free with next day shipping. If you’re going to be spending $10 or more for a gift card, and have more than one person to give a gift card to, I would recommend you purchase this set of three to your recipients. On the other hand, if you are going to be spending $50 or more on an individual gift card, you may want to consider the gift box option.",31-08-2015
51027592,R1B82GQ1N67E21,B00IX1I3G6,Amazon.com Gift Card Balance Reload,Gift Card,5,Five Stars,Very easy to use.,31-08-2015
43173913,R3Q962V3KIETTS,B00BWDHGFG,Amazon.com eGift Cards,Gift Card,5,Was really happy about it,"Gave it to my son and his new wife as he, especially loves Amazon alot.  Was really happy about it. Thanks!",31-08-2015
13828081,R2UT58YDBKHC1H,B007V6EVY2,Amazon Gift Card - Print - Happy Birthday (Presents),Gift Card,5,Five Stars,OK,31-08-2015
37107850,R3Q8PE8SRYPGXM,B004LLIL4G,Amazon eGift Card - Happy Birthday (Birds),Gift Card,5,Five Stars,Nice!,31-08-2015
3350104,R19GKFEN4O01RA,B00Q5BNBC2,Amazon Gift Card - Print - Happy Birthday (Wiser?),Gift Card,5,Great for a last minute gift,"We needed a present for a friend of ours who decided to invite everyone over on a Sunday spontaneously. Here in Germany stores are closed on Sundays so this was a great alternative, especially since you can just print it at home. Great present without excess packaging that'll just end up in the trash anyway.",31-08-2015
2111005,R1PRR8CXUJ9XF4,B004LLIKVU,Amazon.com eGift Cards,Gift Card,5,Five Stars,Excellent.,31-08-2015
23990025,R1EZ03XLAGLKAS,B00CHSWJPC,Amazon Gift Card - Print - Birthday (Make a Wish),Gift Card,5,Great way to please every one,"Great way to please every one! The kids can get what they want and no sweat about color, size, or fit.",31-08-2015
46382101,RDIX3BURJL6U3,B00BWDH368,Amazon.com eGift Cards,Gift Card,5,Five Stars,good,31-08-2015
37215239,R3RTTU9E23VY2L,B007V6EVY2,Amazon Gift Card - Print - Happy Birthday (Presents),Gift Card,5,Five Stars,Printed up just like picture.  Very user friendly.,31-08-2015
26540306,R1B885I7356E7K,B004LLILGO,Amazon eGift Card - Merry Christmas (Birds),Gift Card,5,Five Stars,Ok,31-08-2015
18569200,RTUVWVUUBF30A,B005FGQIL4,"Amazon.com Gift Cards, Pack of 3 (Various Designs)",Gift Card,3,make an extra 20.00,Hey if you looking to make an extra 20.00 check the link its free but only if you load 40.00 or more [...],31-08-2015
