customer_id,review_id,product_id,product_title,product_category,rating,review_headline,review_body,review_date
50423057,R135Q3VZ4DQN5N,B00JWXFDMG,Everbling Purple and Clear Briolette Drop Swarovski Elements Crystal Earrings,Jewelry,5,Beauties!,"so beautiful even tho clearly not high end ... But super great for price and as costume jewelry, though others will have to look twice since they appear very near real ... Very nice",31-08-2015
11262325,R2N0QQ6R4T7YRY,B00W5T1H9W,925 Sterling Silver Finish 6ct Simulated Diamond Stud Set,Jewelry,5,Great product.,"Great product.. I got this set for my mother, as she is allergic to bijoux (probably to the nickel in some products, I don't know for sure, I just know that her ears get swallowed, red and itchy unless is silver or gold).<br />And I'm glad that this is sterling silver and still at a affordable price. She never got an allergic reaction, and now she wears them every day.",31-08-2015
27541121,R3N5JE5Y4T6W5M,B00M2L6KFY,"Sterling Silver Circle ""Friends Forever"" Infinity Symbol Pendant Necklace, 18""",Jewelry,5,Exactly as pictured and my daughter's friend loved it! It came packaged in a nice box ...,Exactly as pictured and my daughter's friend loved it!  It came packaged in a nice box and I thought it looked more expensive than it was.  Very happy with this purchase.,31-08-2015
5350721,R2I150CX5IVY9Q,B0006SW2WU,"Surgical Stainless Steel Domed 9mm Fishbone Ring Wedding Band Comfort-Fit, sizes 7 - 14",Jewelry,5,Five Stars,Love it. Fits great. Super comfortable and neat idea with the fish bones that can also come out!!!,31-08-2015
24484424,R1RM9ICOOA9MQ3,B009YPDW70,"Sterling Silver Family Pendant Necklace, 18""",Jewelry,5,... a Mother's Day gift for my Mom and she loved it! Really nice quality and an interesting design,Got this as a Mother's Day gift for my Mom and she loved it! Really nice quality and an interesting design.,31-08-2015
457767,R2J2KMDL10UMSH,B00QGA8XZM,CHOOSE YOUR COLOR Sterling Silver Heart Promise Ring,Jewelry,5,Five Stars,I Love It Make Me Won't To Get Another,31-08-2015
31009358,R3R9ZUFA4TB4FQ,B00L0N0E8E,Metal Factory 925 Sterting Silver Plumeria Cubic Zirconia CZ with Maile Leaf Hawaiian Flower Band Ring,Jewelry,5,Five Stars,"True to size, unique",31-08-2015
7034628,R3UQ8VAQN7R6WL,B00DMWQKWA,niceEshop(TM)Classic Vintage Champagne Cross Pendant With Chain,Jewelry,5,Five Stars,This necklace is BEAUTIFUL......is a great accent to my wardrobe.,31-08-2015
34608636,R1FXZ69C01JNQM,B00THLHAGA,Genuine Natural Baltic Amber Adjustable Stretch Ring for Women,Jewelry,5,Five Stars,just perfect,31-08-2015
44972687,RY36LB4OW0FFS,B00UXSEOHY,"MBOX Expandable Antique Gold Tone,Antique Sliver Tone & Antique Bronze Letters Wire Bangle Bracelet",Jewelry,5,Five Stars,Love it !,31-08-2015
16684508,R6PKS54PC6ZY2,B00XGRYGVS,"Set of 3 Nose Rings: 22g Sterling Silver CZ Nose Studs - Clear, Pink & Light Purple",Jewelry,1,"I had high hopes for these, but it was an Epic Fail.","They didn't even last through the first day.  One of them, the stone was already out when I got it.  The other two - they both fell out that day!  I'm sad, because I really was looking forward to these.",31-08-2015
23493178,R1LYSAH0IECVWB,B00AJ2VU8A,"3-row White A Grade Freshwater Cultured Pearl Necklace (6.5-7.5mm), 16.5"", 17""/18""",Jewelry,5,This is a real nice necklace for the price,"This is a real nice necklace for the price.  Don't look for each strand to be larger diameter than the next, that is not what is advertised. All in all a really nice necklace",31-08-2015
108294,R1UN0IZI3XQ3E2,B00LE5Y100,"KONOV Mens Stainless Steel Ring, Gothic Skull Hand Claw Poker Playing Card, Black",Jewelry,5,AMAZING,This is a very comfortable ring I would definitely buy it now  GREAT RING KONOV,31-08-2015
25810742,RIKDXD8QGL99S,B013E0AOH6,"TEMEGO Jewelry Mens 2pcs Rhodium Plated Vintage Superman Symbol Wedding Cufflinks Shirt Cufflinks, Black Silver",Jewelry,5,Five Stars,Great quality for the price!,31-08-2015
12037665,RUZCQTXZVGUFH,B00XAWUP96,Royal Blue/White KC ROYALS Silver Tone Multi Charm Toggle Bracelet Kansas City Sports,Jewelry,4,A Little Smaller Than Expected,"I like the bracelet a lot, it's really cute and almost exactly what I expected. I do wish it were just a little longer as it is a little snug even though I have fairly small wrists.",31-08-2015
51793466,R35CD4IHO3RP9H,B00WD82F1O,"10-11mm Baroque Freshwater Cultured Pearl Endless Necklace 32"" 60"" 64"" In Dyed and Natural Colors",Jewelry,5,Pretty and Versatile,This is pretty and versatile. I have it to wear with dresses that are low cut. It allows me to be a bit more modest. I especially appreciate the continuous string. A wandering clasp can ruin a look.,31-08-2015
127508,R13YD66XC9221U,B00JP4XCSO,Sankuwen® Fashional 7pcs Stack Plain Rings Cute Eye Bowknot Crown Rhinestone Joint Rings,Jewelry,1,Don't get this like the first time I opened this it got broken ...,Don't get this like the first time I opened this it got broken and it don't fit on my fingers,31-08-2015
38430946,RHWG4JRVDSEYY,B00PZSM384,zjskin6688 store New fashion Hip-Hop African Map Pendant Wood Bead Rosary Necklaces,Jewelry,3,Three Stars,"Not what I expected. Took too long to ship. But price was right.  Necklace not  adjustable, hangs too low",31-08-2015
33684654,R3SPIKMJ5IWHX8,B00VLMW18K,Scheppend Polymer Clay Cute Cartoon Fox Handmade Stud Earrings ¡­,Jewelry,4,Four Stars,"Bought these for my daughter, cute but bigger than what I imagined they would be.",31-08-2015
5068631,RS19ACU7KWWNE,B00U5LDBB4,Horizontal Sideway Lateral Cross Pendant Necklace Stainless Steel with 20 inches Chain,Jewelry,5,Five Stars,"Pretty, and very comfortable to wear!",31-08-2015
46667015,R21HUZ3R50MKXY,B00T24K90Q,Magnoli Clothiers Doctor Who Style Capaldi Ring,Jewelry,4,Tell me Clara: Am I a good ring?,"Great ring. Looks exactly like the one Capaldi wears. My body is ready to wear it was in everyday life and for cosplay. One problem was it does kinda look weird after it is bent to fit your finger, but I do have big fingers. Metal was easy to bend, but still stiff and you can't notice the shape when wearing it.",31-08-2015
1468500,R3UQLKNZBCOR4I,B0064MB44E,Black Stainless Steel Dragon Stud Earrings for Men,Jewelry,2,My son loved them when he got them,My son loved them when he got them. They gave him the look of plugs. But maybe a month after getting them one of the black piece with the dragon on it fell off of the metal. Not happy!,31-08-2015
16265495,R36X25ZXK35N6W,B010EJPWX6,Essential Oils Aromatherapy Diffuser Locket Necklace,Jewelry,5,Beautiful!,Very pretty & works really well diffusing the scented oil.  Very very happy with this purchase!,31-08-2015
10646870,R3UDCSQC5TYGCK,B00GUGNOME,Zehui Chap Turquoise Beads Tibetan Silver Cute Elephant Stretch Bangle Bracelet,Jewelry,4,Four Stars,like it very much,31-08-2015
44605318,RTUQXYUZKPT13,B00DAGEL7E,TIR-0008 Solid Titanium Rose Gold IP 6mm Wide Classic Band Ring; Comes With Free Gift Box,Jewelry,5,Five Stars,Love this ring,31-08-2015
32524231,RH5ML4EQN0SL0,B00MV4J6US,"Pro Jewelry Dangling ""Cat w/ Heart"" Clip-on Bead for Charm Bracelet 04843",Jewelry,5,Five Stars,great,31-08-2015
