customer_id,review_id,product_id,product_title,product_category,rating,review_headline,review_body,review_date
18069663,R3P2HIOQCIN5ZU,B000XB31C0,Minnetonka Men's Double Deerskin Softsole Moccasin,Shoes,1,.,"Do not buy: really didn't start to wear them until May of 2016. Junk, they are falling apart. The outer sole is so thin that although I wear them almost completely in the house on rugs the inner padding is showing through in the heel. My previous pair from the same company lasted 5 years before I threw them out.  I'm sorry I didn't wear them more often when I first got them as I would have returned them immediately",31-08-2015
16251825,R12VVR0WH5Q24V,B00CFYZH5W,Teva Men's Pajaro Flip-Flop,Shoes,5,super flip flop,provides great cushion as well as archsupport,31-08-2015
20381037,RNCCKB6TV5EEF,B00S8JNN3Q,Anne Klein Perfect Pair Wristlet,Shoes,4,Great clutch purse!,"It's perfect if you need something small for cell phone, and few items.",31-08-2015
108364,R2NZXYIVCGB13W,B00XFBPOQG,adidas Men's 10K Lifestyle Runner Sneaker,Shoes,5,Badass,Getting what u see,31-08-2015
45449350,R2EQ1TG9IT3OEQ,B00SW64Y9W,OverBling Sneakers for Men Casual Men Shoes Genuine Leather Shoes Slip On Boat Loafers,Shoes,3,Three Stars,small,31-08-2015
19324665,R1WXA9JSC2H1U1,B011F9E6LI,MESSI 15.3 FG/AG SOCCER SHOES (8.5),Shoes,5,Five Stars,My 13 year old son loved these shoes excellent quality service and on time for his Birthday !!!,31-08-2015
50073594,R12ENYLFGGNWRV,B00HAUP1OI,Hoka One One Men's Stinson Lite Shoe,Shoes,5,"Finally, some cushion to write about","Ok, I have been searching for shoes to replace the shoes I used to wear but are now too crazy expensive. (wanna guess?) I am so happy with these, I did get them on sale, which helped me a lot, but honestly, these are truly worth more. The\y are so comfortable, the arch is awesome, the cushioning, which is my number one issue (fat woman, 35 years working intensive care) is amazing. I love that the tongue is super thin and doesn't get in the way. I love the lacing system, but i needed a little more room in the shoe, some days it works great, other days i wish i just had one more inch, lol. Are you looking for an amazing shoe? Cushioning, smooth rocker bottom?? These are them, I couldn't be happier. I also introduced them to another friend who worked ICU with me for many years, she bought them and adores them too!!! (yes they are a little on the narrow side, just be aware)",31-08-2015
21706057,R2R07E5PNXEUO5,B00L1RKOKW,Olukai Nohea Mesh Shoe - Men's,Shoes,4,"good deal, but had to go a FULL size down",I went a full size down and they fit better but these are kinda wide.  Nonetheless I love them!,31-08-2015
13708216,R27BA52AKWMWN3,B005WA9MSE,"Carolina Mens 6"" Waterproof Broad Composite Toe Work Boot",Shoes,5,... would have to say this is boot is very good for my line of work and I buy a ...,I would have to say this is boot is very good for my line of work and I buy a pair every year.,31-08-2015
40542649,RLF8DOID2KD5O,B00BEYQI5C,Alegria Women's Seville Clog,Shoes,3,Too small,The size is misleading!,31-08-2015
