customer_id,review_id,product_id,product_title,product_category,rating,review_headline,review_body,review_date
3653882,R3O9SGZBVQBV76,B00FALQ1ZC,"Invicta Women's 15150 ""Angel"" 18k Yellow Gold Ion-Plated Stainless Steel and Brown Leather Watch",Watches,5,Five Stars,Absolutely love this watch! Get compliments almost every time I wear it. Dainty.,31-08-2015
14661224,RKH8BNC3L5DLF,B00D3RGO20,Kenneth Cole New York Women's KC4944 Automatic Silver Automatic Mesh Bracelet Analog Watch,Watches,5,I love thiswatch it keeps time wonderfully,I love this watch it keeps time wonderfully.,31-08-2015
27324930,R2HLE8WKZSU3NL,B00DKYC7TK,Ritche 22mm Black Stainless Steel Bracelet Watch Band Strap Pebble Time/Pebble Classic,Watches,2,Two Stars,Scratches,31-08-2015
7211452,R31U3UH5AZ42LL,B000EQS1JW,Citizen Men's BM8180-03E Eco-Drive Stainless Steel Watch with Green Canvas Band,Watches,5,Five Stars,"It works well on me. However, I found cheaper prices in other places after making the purchase",31-08-2015
12733322,R2SV659OUJ945Y,B00A6GFD7S,Orient ER27009B Men's Symphony Automatic Stainless Steel Black Dial Mechanical Watch,Watches,4,"Beautiful face, but cheap sounding links","Beautiful watch face.  The band looks nice all around.  The links do make that squeaky cheapo noise when you swing it back and forth on your wrist which can be embarrassing in front of watch enthusiasts.  However, to the naked eye from afar, you can't tell the links are cheap or folded because it is well polished and brushed and the folds are pretty tight for the most part.<br /><br />I love the new member of my collection and it looks great.  I've had it for about a week and so far it has kept good time despite day 1 which is typical of a new mechanical watch",31-08-2015
6576411,RA51CP8TR5A2L,B00EYSOSE8,Casio Men's GW-9400BJ-1JF G-Shock Master of G Rangeman Digital Solar Black Carbon Fiber Insert Watch,Watches,5,No complaints,"i love this watch for my purpose, about the people complaining should of done their research better before buying. dumb people.",31-08-2015
11811565,RB2Q7DLDN6TH6,B00WM0QA3M,Fossil Women's ES3851 Urban Traveler Multifunction Stainless Steel Watch - Rose,Watches,5,Five Stars,"for my wife and she loved it, looks great and a great price!",31-08-2015
49401598,R2RHFJV0UYBK3Y,B00A4EYBR0,INFANTRY Mens Night Vision Analog Quartz Wrist Watch with Nato Nylon Watchband-Red.,Watches,1,I was about to buy this thinking it was a ...,I was about to buy this thinking it was a Swiss Army Infantry watch-- the description uses the words infantry and army--- when I realized it must be a fraud for $12.00. This should not be offered on Amazon-- it is designed to confuse consumers.,31-08-2015
45925069,R2Z6JOQ94LFHEP,B00MAMPGGE,G-Shock Men's Grey Sport Watch,Watches,5,Perfect watch!,Watch is perfect. Rugged with the metal &#34;Bull Bars&#34;. The red accents are a great touch and I get compliments when wearing it. If you are worried about being able to read this in sunlight or in the dark don't! The LED ilumination works great! I might even get this in a different color for my next G-Shock purchase!,31-08-2015
44751341,RX27XIIWY5JPB,B004LBPB7Q,Heiden Quad Watch Winder in Black Leather,Watches,4,Great quality and build,Great quality and build.<br />The motors are really silent.<br />After fiddling with the settings my watches are always charged and ready to use.,31-08-2015
